model	sut_id	repeat	status	status_json
cluster-max-codellama-7b-instruct-ctx16k	001_java_bitcount	1	ok	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/001_java_bitcount/run_0001/1-1/status.json
cluster-max-codellama-7b-instruct-ctx16k	001_java_bitcount	2	ok	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/001_java_bitcount/run_0001/1-2/status.json
cluster-max-codellama-7b-instruct-ctx16k	001_java_bitcount	3	invalid_test_structure	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/001_java_bitcount/run_0001/1-3/status.json
cluster-max-codellama-7b-instruct-ctx16k	001_java_bitcount	4	invalid_test_structure	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/001_java_bitcount/run_0001/1-4/status.json
cluster-max-codellama-7b-instruct-ctx16k	001_java_bitcount	5	ok	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/001_java_bitcount/run_0001/1-5/status.json
cluster-max-codellama-7b-instruct-ctx16k	002_java_breadth_first_search	1	invalid_test_structure	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/002_java_breadth_first_search/run_0001/1-1/status.json
cluster-max-codellama-7b-instruct-ctx16k	002_java_breadth_first_search	2	invalid_test_structure	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/002_java_breadth_first_search/run_0001/1-2/status.json
cluster-max-codellama-7b-instruct-ctx16k	002_java_breadth_first_search	3	invalid_test_structure	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/002_java_breadth_first_search/run_0001/1-3/status.json
cluster-max-codellama-7b-instruct-ctx16k	002_java_breadth_first_search	4	invalid_test_structure	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/002_java_breadth_first_search/run_0001/1-4/status.json
cluster-max-codellama-7b-instruct-ctx16k	002_java_breadth_first_search	5	invalid_test_structure	/home/ruioliveira/llms/quixbugs_java_cluster_generation_job_v1_20260602_103705/out/quixbugs_java_zero_shot_cluster_v1/cluster-max-codellama-7b-instruct-ctx16k/002_java_breadth_first_search/run_0001/1-5/status.json
