model	final_status	final_class	count
cluster-max-codellama-7b-instruct-ctx16k	cluster_generation_timeout	strict_zero_cluster_generation_not_ok	1
cluster-max-codellama-7b-instruct-ctx16k	cluster_invalid_python_syntax	strict_zero_cluster_generation_not_ok	11
cluster-max-codellama-7b-instruct-ctx16k	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	7
cluster-max-codellama-7b-instruct-ctx16k	nodeid_rescue_coverage_recovered	evaluated_coverage_nodeid_rescue_mutation_unavailable	1
cluster-max-codellama-7b-instruct-ctx16k	ok	evaluated_coverage_and_mutation	14
cluster-max-codellama-7b-instruct-ctx16k	pytest_final_fail	strict_zero_downstream_pytest_final_fail	3
cluster-max-codellama-7b-instruct-ctx16k	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	37
cluster-max-codellama-7b-instruct-ctx16k	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	6
cluster-safe-codestral-22b-ctx16k	cluster_invalid_python_syntax	strict_zero_cluster_generation_not_ok	23
cluster-safe-codestral-22b-ctx16k	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	10
cluster-safe-codestral-22b-ctx16k	ok	evaluated_coverage_and_mutation	30
cluster-safe-codestral-22b-ctx16k	pytest_final_fail	strict_zero_downstream_pytest_final_fail	1
cluster-safe-codestral-22b-ctx16k	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	11
cluster-safe-codestral-22b-ctx16k	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	5
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster_invalid_python_syntax	strict_zero_cluster_generation_not_ok	37
cluster-safe-deepseek-coder-v2-16b-ctx16k	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	7
cluster-safe-deepseek-coder-v2-16b-ctx16k	ok	evaluated_coverage_and_mutation	20
cluster-safe-deepseek-coder-v2-16b-ctx16k	pytest_final_fail	strict_zero_downstream_pytest_final_fail	1
cluster-safe-deepseek-coder-v2-16b-ctx16k	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	8
cluster-safe-deepseek-coder-v2-16b-ctx16k	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	7
cluster-safe-deepseek-v2-16b-ctx32k	cluster_invalid_python_syntax	strict_zero_cluster_generation_not_ok	21
cluster-safe-deepseek-v2-16b-ctx32k	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	6
cluster-safe-deepseek-v2-16b-ctx32k	nodeid_rescue_coverage_recovered	evaluated_coverage_nodeid_rescue_mutation_unavailable	2
cluster-safe-deepseek-v2-16b-ctx32k	ok	evaluated_coverage_and_mutation	10
cluster-safe-deepseek-v2-16b-ctx32k	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	28
cluster-safe-deepseek-v2-16b-ctx32k	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	13
cluster-safe-qwen2.5-coder-14b-ctx32k	cluster_invalid_python_syntax	strict_zero_cluster_generation_not_ok	11
cluster-safe-qwen2.5-coder-14b-ctx32k	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	16
cluster-safe-qwen2.5-coder-14b-ctx32k	ok	evaluated_coverage_and_mutation	34
cluster-safe-qwen2.5-coder-14b-ctx32k	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	17
cluster-safe-qwen2.5-coder-14b-ctx32k	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	2
cluster-safe-qwen3-coder-30b-official-ctx32k	cluster_invalid_python_syntax	strict_zero_cluster_generation_not_ok	6
cluster-safe-qwen3-coder-30b-official-ctx32k	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	22
cluster-safe-qwen3-coder-30b-official-ctx32k	ok	evaluated_coverage_and_mutation	39
cluster-safe-qwen3-coder-30b-official-ctx32k	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	13
cluster-safe-qwen3.5-9b-ctx32k	cluster_invalid_python_syntax	strict_zero_cluster_generation_not_ok	3
cluster-safe-qwen3.5-9b-ctx32k	cluster_invalid_test_structure	strict_zero_cluster_generation_not_ok	4
cluster-safe-qwen3.5-9b-ctx32k	mutation_no_checked_mutants	evaluated_coverage_only_mutation_no_checked	11
cluster-safe-qwen3.5-9b-ctx32k	nodeid_rescue_coverage_recovered	evaluated_coverage_nodeid_rescue_mutation_unavailable	3
cluster-safe-qwen3.5-9b-ctx32k	ok	evaluated_coverage_and_mutation	22
cluster-safe-qwen3.5-9b-ctx32k	pytest_no_runnable_tests	strict_zero_no_runnable_tests_after_sanitization	31
cluster-safe-qwen3.5-9b-ctx32k	sanitization_no_failed_tests_detected	strict_zero_sanitization_no_failed_tests_detected	6
