model	sut_id	repeat	target_module	run_dir	batch_status	tool_exit_code	mutation_status	mutation_available	mutation_score_pct	killed	survived	timeout	suspicious	skipped	not_checked	no_tests	total	parse_source	elapsed_s	v5_logcorrected	v5_original_mutation_status	v5_original_mutation_score_pct
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	1	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-1	tool_completed	0	ok	True	27.40740740740741	111	294	0	0	0	0	145	550	mutmut_stdout_summary_v5	11.918	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	3	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-3	tool_completed	0	ok	True	23.333333333333332	14	46	0	0	0	0	490	550	mutmut_stdout_summary_v5	9.517	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	4	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-4	tool_completed	0	ok	True	27.40740740740741	111	294	0	0	0	0	145	550	mutmut_stdout_summary_v5	11.97	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	PySnooper_2f	5	pysnooper	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/PySnooper_2f/run_0001/0001-5	tool_completed	0	ok	True	27.40740740740741	111	294	0	0	0	0	145	550	mutmut_stdout_summary_v5	12.038	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	ansible_14f	5	ansible.utils.unicode	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/ansible_14f/run_0001/0003-5	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	8	0	8	mutmut_results_lines	31.216	False	mutation_no_checked_mutants	
cluster-max-codellama-7b-instruct-ctx16k	black_2f	1	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-1	tool_completed	0	ok	True	100.0	3	0	0	0	0	0	0	3	mutmut_stdout_summary_v5	3.585	False	ok	100.0
cluster-max-codellama-7b-instruct-ctx16k	black_2f	2	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-2	tool_completed	0	ok	True	100.0	1	0	0	0	0	0	2	3	mutmut_stdout_summary_v5	3.68	True	mutation_no_checked_mutants	
cluster-max-codellama-7b-instruct-ctx16k	black_2f	3	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-3	tool_completed	0	ok	True	33.33333333333333	1	2	0	0	0	0	0	3	mutmut_stdout_summary_v5	3.776	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	black_2f	4	blib2to3.pgen2.token	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_2f/run_0001/0005-4	tool_completed	0	ok	True	50.0	1	1	0	0	0	0	1	3	mutmut_stdout_summary_v5	3.784	True	ok	0.0
cluster-max-codellama-7b-instruct-ctx16k	black_5f	3	blib2to3.pgen2.driver	/home/jpaiva/projetos/bugsinpy_gpt4o/out/_eval_cluster_bugsinpy_v5_best_effort_retry/cluster-max-codellama-7b-instruct-ctx16k/black_5f/run_0001/0006-3	tool_completed	0	mutation_no_checked_mutants	False		0	0	0	0	0	303	0	303	mutmut_results_lines	5.23	False	mutation_no_checked_mutants	
