sut_id	run_dir	target_class
Chart_5f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Chart_5f/run_0001	org.jfree.data.xy.AbstractXYDataset
Cli_23f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Cli_23f/run_0001	org.apache.commons.cli.MissingOptionException
Closure_77f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Closure_77f/run_0001	com.google.javascript.jscomp.CheckLevel
Codec_15f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Codec_15f/run_0001	org.apache.commons.codec.binary.StringUtils
Collections_18f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Collections_18f/run_0001	org.apache.commons.collections.ArrayStack
Compress_13f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Compress_13f/run_0001	org.apache.commons.compress.compressors.FileNameUtil
Csv_4f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Csv_4f/run_0001	org.apache.commons.csv.CSVRecord
Gson_17f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Gson_17f/run_0001	com.google.gson.JsonNull
JacksonCore_13f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/JacksonCore_13f/run_0001	com.fasterxml.jackson.core.JsonToken
JacksonDatabind_17f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/JacksonDatabind_17f/run_0001	com.fasterxml.jackson.databind.DeserializationFeature
JacksonXml_5f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/JacksonXml_5f/run_0001	com.fasterxml.jackson.dataformat.xml.deser.ElementWrapper
Jsoup_91f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Jsoup_91f/run_0001	org.jsoup.UnsupportedMimeTypeException
JxPath_22f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/JxPath_22f/run_0001	org.apache.commons.jxpath.ri.QName
Lang_52f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Lang_52f/run_0001	org.apache.commons.lang.IllegalClassException
Math_9f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Math_9f/run_0001	org.apache.commons.math3.analysis.function.Abs
Mockito_19f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Mockito_19f/run_0001	org.mockito.AdditionalAnswers
Time_24f	/home/jpaiva/projetos/llm_test_generation_gpt4o/defects4j_gpt4o/out/_final_defects4j_gpt4o_retryempty15/Time_24f/run_0001	org.joda.time.IllegalFieldValueException
