model	model_dir	sut_id	repeat	status	exit_code	timed_out	empty_output	attempts	duration_s	run_dir
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Chart_5f	1	ok	0	0	0	1	10	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Chart_5f/run_0001
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Chart_5f	2	ok	0	0	0	1	12	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Chart_5f/run_0002
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Chart_5f	3	ok	0	0	0	1	7	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Chart_5f/run_0003
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Chart_5f	4	ok	0	0	0	1	4	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Chart_5f/run_0004
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Chart_5f	5	ok	0	0	0	1	6	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Chart_5f/run_0005
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Cli_23f	1	ok	0	0	0	1	5	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Cli_23f/run_0001
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Cli_23f	2	ok	0	0	0	1	5	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Cli_23f/run_0002
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Cli_23f	3	ok	0	0	0	1	2	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Cli_23f/run_0003
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Cli_23f	4	ok	0	0	0	1	5	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Cli_23f/run_0004
cluster-safe-deepseek-coder-v2-16b-ctx16k	cluster-safe-deepseek-coder-v2-16b-ctx16k	Cli_23f	5	ok	0	0	0	1	4	/root/defects4j_java_job_v1/out/defects4j_java_zero_shot_cluster_v1/cluster-safe-deepseek-coder-v2-16b-ctx16k/Cli_23f/run_0005
