approach,label,rows_found,valid_metric_values,non_zero_metric_values,zero_or_missing_values,penalised_mean,non_penalised_mean,best_performance
Pynguin,Pynguin,820,627,616,204,48.33985365853656,64.34850649350646,100.0
GPT-4o,GPT-4o,820,820,802,18,89.2890243902439,91.2930174563591,100.0
GPT-5.5,GPT-5.5,820,820,799,21,92.03682926829276,94.45581977471849,100.0
Claude Opus 4.7,Claude 4.7,820,820,793,27,91.06274390243912,94.16324085750325,100.0
cluster-max-codellama-7b-instruct-ctx16k [structfix],CodeLlama,814,814,670,150,69.74991463414632,85.36556716417908,100.0
cluster-safe-codestral-22b-ctx16k,Codestral,780,780,751,69,79.48181707317063,86.78440745672427,100.0
cluster-safe-deepseek-coder-v2-16b-ctx16k,DeepSeek-Coder-V2,789,789,761,59,80.79821951219512,87.06247043363994,100.0
cluster-safe-deepseek-v2-ctx32k [structfix],DeepSeek-V2,799,799,442,378,40.87826829268292,75.83751131221717,100.0
cluster-safe-qwen2.5-coder-14b-ctx32k,Qwen2.5-Coder,819,819,799,21,87.35449999999999,89.65042553191488,100.0
cluster-safe-qwen3-coder-30b-official-ctx32k,Qwen3-Coder,783,783,767,53,85.24209756097567,91.13235984354634,100.0
cluster-safe-qwen3.5-9b-ctx32k,Qwen3.5,799,799,785,35,88.00959756097564,91.93359235668792,100.0
