dataset,group,approach,sut,rep,exec_ok,line_coverage_pct,branch_coverage_pct,mutation_score_pct,source_metrics_dir
HumanEval+,Non-AI,Pynguin,HumanEval_0,run_0001,1,100.0,100.0,90.91,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_0/run_0001/1-1/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_0,run_0001,1,100.0,100.0,81.82,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_0/run_0001/1-2/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_0,run_0001,1,100.0,100.0,72.73,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_0/run_0001/1-3/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_0,run_0001,1,100.0,100.0,81.82,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_0/run_0001/1-4/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_0,run_0001,1,100.0,100.0,81.82,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_0/run_0001/1-5/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_1,run_0002,1,100.0,100.0,12.5,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_1/run_0002/2-1/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_1,run_0002,1,100.0,100.0,12.5,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_1/run_0002/2-2/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_1,run_0002,1,100.0,100.0,12.5,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_1/run_0002/2-3/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_1,run_0002,1,100.0,100.0,12.5,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_1/run_0002/2-4/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_1,run_0002,1,100.0,100.0,12.5,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_1/run_0002/2-5/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_10,run_0003,0,,,,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_10/run_0003/3-1/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_10,run_0003,0,,,,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_10/run_0003/3-2/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_10,run_0003,0,,,,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_10/run_0003/3-3/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_10,run_0003,0,,,,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_10/run_0003/3-4/metrics
HumanEval+,Non-AI,Pynguin,HumanEval_10,run_0003,0,,,,/home/jpaiva/projetos/nonAI/python_workflow/out/pynguin_humanevalplus_strict0/HumanEval_10/run_0003/3-5/metrics
